FISCAL YEAR,AGENCY,CLASSIFICATION,SALARY (ANNUAL) ,FULL/PART TIME,SERVICE TYPE,AGENCY #
2015,SECRETARY OF STATE,STATE AUDITOR 4,101880,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,106974,FULL TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,106974,PART TIME,NON ORS,16500
2015,SECRETARY OF STATE,STATE AUDITOR 4,106974,FULL TIME,NON ORS,16500
2015,"YOUTH AUTHORITY, OREGON",SUPERVISING RN,83954,FULL TIME,MANAGEMENT SERVICE,41500
2015,"HUMAN SERVICES, DEPARTMENT OF",SOCIAL SERVICE SPECIALIST 1,43284,FULL TIME,REPRESENTED,10000
2015,"CORRECTIONS, DEPT OF",DENTIST,168372,JOB SHARE,REPRESENTED,29100
2015,JUDICIAL DEPARTMENT,LAW CLERK,47220,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,47220,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,47220,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,47220,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,47220,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,47220,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,47220,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,49572,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,52044,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,52044,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,52044,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,54648,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,60240,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,76884,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,76884,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,LAW CLERK,76884,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,OJD ITS 2,54648,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,OJD ITS 2,54648,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,OJD ITS 2,57372,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,OJD ITS 2,57372,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,OJD ITS 2,60240,FULL TIME,UNREPRESENTED,19800
2015,JUDICIAL DEPARTMENT,OJD ITS 2,60240,FULL TIME,UNREPRESENTED,19800
